18
 0.20063E+02; 0.24905E+00; 0.30092E+02; 0.19738E+01; 0.28446E+01; 0.17071E+02; 0.79925E+02; 0.92754E+00; 0.25148E+00; 0.20112E+02; 0.55617E+05; 0.25288E+02; 0.40705E+02; 0.89985E+00;-0.39182E-01; 0.32871E-01; 0.12345E-02;-0.96796E+00; normal    
 0.20254E+02; 0.25066E+00; 0.29870E+02; 0.20047E+01; 0.28151E+01; 0.17019E+02; 0.80035E+02; 0.90416E+00; 0.24893E+00; 0.20246E+02; 0.55579E+05; 0.24823E+02; 0.40675E+02; 0.89977E+00; 0.71703E-02; 0.10491E-01; 0.69694E-03;-0.30511E+00; normal    
 0.20094E+02; 0.24921E+00; 0.29912E+02; 0.20189E+01; 0.28455E+01; 0.17003E+02; 0.80205E+02; 0.90904E+00; 0.24892E+00; 0.19881E+02; 0.56672E+05; 0.25310E+02; 0.41066E+02; 0.89611E+00; 0.29650E-01;-0.26148E-02;-0.15357E-02; 0.17449E+00; normal    
 0.19814E+02; 0.24918E+00; 0.29859E+02; 0.20109E+01; 0.28491E+01; 0.17111E+02; 0.79728E+02; 0.90106E+00; 0.24843E+00; 0.19901E+02; 0.55419E+05; 0.25697E+02; 0.40659E+02; 0.90913E+00; 0.17302E-01; 0.90499E-02;-0.37343E-02; 0.25984E+00; normal    
 0.20343E+02; 0.24856E+00; 0.30384E+02; 0.19922E+01; 0.28672E+01; 0.17269E+02; 0.80276E+02; 0.90144E+00; 0.24584E+00; 0.19935E+02; 0.57029E+05; 0.25057E+02; 0.40701E+02; 0.90397E+00;-0.10488E-01;-0.44203E-02;-0.34203E-02; 0.22312E+00; normal    
 0.19954E+02; 0.25112E+00; 0.30321E+02; 0.20095E+01; 0.28666E+01; 0.16979E+02; 0.79833E+02; 0.90890E+00; 0.25042E+00; 0.19921E+02; 0.56931E+05; 0.25797E+02; 0.40985E+02; 0.90684E+00; 0.14892E-01;-0.29109E-02;-0.21840E-02;-0.13314E+00; normal    
 0.19985E+02; 0.25144E+00; 0.29868E+02; 0.20046E+01; 0.28635E+01; 0.17075E+02; 0.79983E+02; 0.90179E+00; 0.24532E+00; 0.19787E+02; 0.56714E+05; 0.25074E+02; 0.40581E+02; 0.91114E+00; 0.81528E-02; 0.12680E-02;-0.40399E-02; 0.16954E-01; normal    
 0.19947E+02; 0.24906E+00; 0.29845E+02; 0.20077E+01; 0.28567E+01; 0.17030E+02; 0.80133E+02; 0.89356E+00; 0.24686E+00; 0.20018E+02; 0.56368E+05; 0.25395E+02; 0.40885E+02; 0.90866E+00; 0.12627E-01;-0.11378E-01;-0.39473E-02;-0.38896E-01; normal    
 0.19854E+02; 0.25394E+00; 0.29791E+02; 0.19847E+01; 0.28175E+01; 0.17239E+02; 0.79771E+02; 0.90199E+00; 0.24927E+00; 0.19837E+02; 0.55982E+05; 0.24956E+02; 0.40571E+02; 0.89444E+00;-0.21807E-01; 0.75438E-02; 0.48401E-03;-0.22535E+00; normal    
 0.19921E+02; 0.24878E+00; 0.29941E+02; 0.20015E+01; 0.28540E+01; 0.16998E+02; 0.79983E+02; 0.90658E+00; 0.25318E+00; 0.19753E+02; 0.55967E+05; 0.24951E+02; 0.40816E+02; 0.90285E+00; 0.27050E-02; 0.65034E-02; 0.43739E-02;-0.35593E+00; normal    
 0.20016E+02; 0.25096E+00; 0.29911E+02; 0.19888E+01; 0.28456E+01; 0.17045E+02; 0.79871E+02; 0.89691E+00; 0.25022E+00; 0.20047E+02; 0.56589E+05; 0.25211E+02; 0.40405E+02; 0.90155E+00;-0.16505E-01; 0.15475E-02; 0.28142E-03;-0.63092E+00; normal    
 0.19884E+02; 0.24860E+00; 0.29958E+02; 0.19904E+01; 0.28749E+01; 0.17196E+02; 0.79861E+02; 0.90598E+00; 0.25211E+00; 0.20000E+02; 0.56435E+05; 0.24264E+02; 0.40474E+02; 0.90116E+00;-0.13859E-01; 0.10203E-01; 0.64517E-02;-0.48348E-01; normal    
 0.19925E+02; 0.25018E+00; 0.29870E+02; 0.19887E+01; 0.28557E+01; 0.16873E+02; 0.80086E+02; 0.90440E+00; 0.24670E+00; 0.19985E+02; 0.56521E+05; 0.24994E+02; 0.40574E+02; 0.89966E+00;-0.16944E-01; 0.55751E-02;-0.22590E-02;-0.11273E+01; normal    
